file_Type,ascii_separator,nb_fields,id_A_field,id_B_field,length_A_field,length_B_field,start_A_field ,start_B_field,end_A_field,end_B_field,strand_type,strand_A/total,strand_B
paf,9,12,0,5,1,6,2,7,3,8,1,4,N
mhap,32,12,0,1,7,11,5,9,6,10,2,4,8
